account_id,repayment_profile,month,contractual_principal_due
SYN-ECL-001,level_36_month,1,4166.666667
SYN-ECL-001,level_36_month,2,4166.666667
SYN-ECL-001,level_36_month,3,4166.666667
SYN-ECL-001,level_36_month,4,4166.666667
SYN-ECL-001,level_36_month,5,4166.666667
SYN-ECL-001,level_36_month,6,4166.666667
SYN-ECL-001,level_36_month,7,4166.666667
SYN-ECL-001,level_36_month,8,4166.666667
SYN-ECL-001,level_36_month,9,4166.666667
SYN-ECL-001,level_36_month,10,4166.666667
SYN-ECL-001,level_36_month,11,4166.666667
SYN-ECL-001,level_36_month,12,4166.666667
SYN-ECL-001,level_36_month,13,4166.666667
SYN-ECL-001,level_36_month,14,4166.666667
SYN-ECL-001,level_36_month,15,4166.666667
SYN-ECL-001,level_36_month,16,4166.666667
SYN-ECL-001,level_36_month,17,4166.666667
SYN-ECL-001,level_36_month,18,4166.666667
SYN-ECL-001,level_36_month,19,4166.666667
SYN-ECL-001,level_36_month,20,4166.666667
SYN-ECL-001,level_36_month,21,4166.666667
SYN-ECL-001,level_36_month,22,4166.666667
SYN-ECL-001,level_36_month,23,4166.666667
SYN-ECL-001,level_36_month,24,4166.666667
SYN-ECL-001,level_36_month,25,4166.666667
SYN-ECL-001,level_36_month,26,4166.666667
SYN-ECL-001,level_36_month,27,4166.666667
SYN-ECL-001,level_36_month,28,4166.666667
SYN-ECL-001,level_36_month,29,4166.666667
SYN-ECL-001,level_36_month,30,4166.666667
SYN-ECL-001,level_36_month,31,4166.666667
SYN-ECL-001,level_36_month,32,4166.666667
SYN-ECL-001,level_36_month,33,4166.666667
SYN-ECL-001,level_36_month,34,4166.666667
SYN-ECL-001,level_36_month,35,4166.666667
SYN-ECL-001,level_36_month,36,4166.666667
SYN-ECL-002,level_24_month,1,3958.333333
SYN-ECL-002,level_24_month,2,3958.333333
SYN-ECL-002,level_24_month,3,3958.333333
SYN-ECL-002,level_24_month,4,3958.333333
SYN-ECL-002,level_24_month,5,3958.333333
SYN-ECL-002,level_24_month,6,3958.333333
SYN-ECL-002,level_24_month,7,3958.333333
SYN-ECL-002,level_24_month,8,3958.333333
SYN-ECL-002,level_24_month,9,3958.333333
SYN-ECL-002,level_24_month,10,3958.333333
SYN-ECL-002,level_24_month,11,3958.333333
SYN-ECL-002,level_24_month,12,3958.333333
SYN-ECL-002,level_24_month,13,3958.333333
SYN-ECL-002,level_24_month,14,3958.333333
SYN-ECL-002,level_24_month,15,3958.333333
SYN-ECL-002,level_24_month,16,3958.333333
SYN-ECL-002,level_24_month,17,3958.333333
SYN-ECL-002,level_24_month,18,3958.333333
SYN-ECL-002,level_24_month,19,3958.333333
SYN-ECL-002,level_24_month,20,3958.333333
SYN-ECL-002,level_24_month,21,3958.333333
SYN-ECL-002,level_24_month,22,3958.333333
SYN-ECL-002,level_24_month,23,3958.333333
SYN-ECL-002,level_24_month,24,3958.333333
SYN-ECL-002,level_24_month,25,0.000000
SYN-ECL-002,level_24_month,26,0.000000
SYN-ECL-002,level_24_month,27,0.000000
SYN-ECL-002,level_24_month,28,0.000000
SYN-ECL-002,level_24_month,29,0.000000
SYN-ECL-002,level_24_month,30,0.000000
SYN-ECL-002,level_24_month,31,0.000000
SYN-ECL-002,level_24_month,32,0.000000
SYN-ECL-002,level_24_month,33,0.000000
SYN-ECL-002,level_24_month,34,0.000000
SYN-ECL-002,level_24_month,35,0.000000
SYN-ECL-002,level_24_month,36,0.000000
SYN-ECL-003,50pct_balloon_month_36,1,1171.428571
SYN-ECL-003,50pct_balloon_month_36,2,1171.428571
SYN-ECL-003,50pct_balloon_month_36,3,1171.428571
SYN-ECL-003,50pct_balloon_month_36,4,1171.428571
SYN-ECL-003,50pct_balloon_month_36,5,1171.428571
SYN-ECL-003,50pct_balloon_month_36,6,1171.428571
SYN-ECL-003,50pct_balloon_month_36,7,1171.428571
SYN-ECL-003,50pct_balloon_month_36,8,1171.428571
SYN-ECL-003,50pct_balloon_month_36,9,1171.428571
SYN-ECL-003,50pct_balloon_month_36,10,1171.428571
SYN-ECL-003,50pct_balloon_month_36,11,1171.428571
SYN-ECL-003,50pct_balloon_month_36,12,1171.428571
SYN-ECL-003,50pct_balloon_month_36,13,1171.428571
SYN-ECL-003,50pct_balloon_month_36,14,1171.428571
SYN-ECL-003,50pct_balloon_month_36,15,1171.428571
SYN-ECL-003,50pct_balloon_month_36,16,1171.428571
SYN-ECL-003,50pct_balloon_month_36,17,1171.428571
SYN-ECL-003,50pct_balloon_month_36,18,1171.428571
SYN-ECL-003,50pct_balloon_month_36,19,1171.428571
SYN-ECL-003,50pct_balloon_month_36,20,1171.428571
SYN-ECL-003,50pct_balloon_month_36,21,1171.428571
SYN-ECL-003,50pct_balloon_month_36,22,1171.428571
SYN-ECL-003,50pct_balloon_month_36,23,1171.428571
SYN-ECL-003,50pct_balloon_month_36,24,1171.428571
SYN-ECL-003,50pct_balloon_month_36,25,1171.428571
SYN-ECL-003,50pct_balloon_month_36,26,1171.428571
SYN-ECL-003,50pct_balloon_month_36,27,1171.428571
SYN-ECL-003,50pct_balloon_month_36,28,1171.428571
SYN-ECL-003,50pct_balloon_month_36,29,1171.428571
SYN-ECL-003,50pct_balloon_month_36,30,1171.428571
SYN-ECL-003,50pct_balloon_month_36,31,1171.428571
SYN-ECL-003,50pct_balloon_month_36,32,1171.428571
SYN-ECL-003,50pct_balloon_month_36,33,1171.428571
SYN-ECL-003,50pct_balloon_month_36,34,1171.428571
SYN-ECL-003,50pct_balloon_month_36,35,1171.428571
SYN-ECL-003,50pct_balloon_month_36,36,41000.000000
SYN-ECL-004,level_36_month,1,3333.333333
SYN-ECL-004,level_36_month,2,3333.333333
SYN-ECL-004,level_36_month,3,3333.333333
SYN-ECL-004,level_36_month,4,3333.333333
SYN-ECL-004,level_36_month,5,3333.333333
SYN-ECL-004,level_36_month,6,3333.333333
SYN-ECL-004,level_36_month,7,3333.333333
SYN-ECL-004,level_36_month,8,3333.333333
SYN-ECL-004,level_36_month,9,3333.333333
SYN-ECL-004,level_36_month,10,3333.333333
SYN-ECL-004,level_36_month,11,3333.333333
SYN-ECL-004,level_36_month,12,3333.333333
SYN-ECL-004,level_36_month,13,3333.333333
SYN-ECL-004,level_36_month,14,3333.333333
SYN-ECL-004,level_36_month,15,3333.333333
SYN-ECL-004,level_36_month,16,3333.333333
SYN-ECL-004,level_36_month,17,3333.333333
SYN-ECL-004,level_36_month,18,3333.333333
SYN-ECL-004,level_36_month,19,3333.333333
SYN-ECL-004,level_36_month,20,3333.333333
SYN-ECL-004,level_36_month,21,3333.333333
SYN-ECL-004,level_36_month,22,3333.333333
SYN-ECL-004,level_36_month,23,3333.333333
SYN-ECL-004,level_36_month,24,3333.333333
SYN-ECL-004,level_36_month,25,3333.333333
SYN-ECL-004,level_36_month,26,3333.333333
SYN-ECL-004,level_36_month,27,3333.333333
SYN-ECL-004,level_36_month,28,3333.333333
SYN-ECL-004,level_36_month,29,3333.333333
SYN-ECL-004,level_36_month,30,3333.333333
SYN-ECL-004,level_36_month,31,3333.333333
SYN-ECL-004,level_36_month,32,3333.333333
SYN-ECL-004,level_36_month,33,3333.333333
SYN-ECL-004,level_36_month,34,3333.333333
SYN-ECL-004,level_36_month,35,3333.333333
SYN-ECL-004,level_36_month,36,3333.333333
SYN-ECL-005,65pct_balloon_month_36,1,620.000000
SYN-ECL-005,65pct_balloon_month_36,2,620.000000
SYN-ECL-005,65pct_balloon_month_36,3,620.000000
SYN-ECL-005,65pct_balloon_month_36,4,620.000000
